trial,breakout_threshold,cup_depth_threshold,extrema_order,handle_depth_threshold,max_cup_duration,max_handle_duration,min_cup_duration,min_handle_duration,peak_similarity_threshold,stop_loss_pct,take_profit_pct,trailing_stop_pct,volume_confirm,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,0.0021434101467156055,0.17129219298897477,4.0,0.645953519924017,130.0,26.0,49.0,4.0,0.2035712795530752,0.06606969598995575,0.13955339629253538,0.06480475990706563,True,-0.04386392175486505,-0.015564031165013962,-0.08956718994185486,-0.001258960273523189,0.01380125171315888,0.9735038594755764,0.04257880555553086,0.08064215618332697,-0.1776098031291576,497.3333333333333,0.08759968756019297,0.11120633569644599,0.036572853537825994,0.46784943979508337,-1.5798292628642903,1.6164021164021163,1.5798292628642903
1,0.018072255114564024,0.272583909542079,6.0,0.3867490548689456,60.0,46.0,23.0,10.0,0.06198723781628011,0.07443721927653739,0.11474242459540229,0.0,False,-0.03140099554772561,-0.009849699504944706,-0.4002074883198872,-0.0960171270717904,-0.11499876140338348,0.7430371122364537,0.006497442158833698,-0.36582893770251657,-0.05876374781266125,652.3333333333334,0.025226485405324104,0.03326613367382337,0.012882236396741456,0.3897707231040564,-2.2185992450847403,2.231481481481482,2.2185992450847403
2,0.010072230828389027,0.2493585528905954,8.0,0.5163748795248024,135.0,46.0,53.0,10.0,0.08143594011237942,0.06470643405092012,0.06662949229054717,0.0,True,0.041359427840884644,0.012209739606682368,0.17434863983535467,0.12396053029945923,0.132683986670927,1.206251753348269,0.01706107253375985,0.45003012426246986,-0.06724900899811863,476.0,0.048945618037282645,0.03253005276377704,0.07228613233653097,0.48938223938223935,-1.459459899409501,1.5317460317460319,1.459459899409501
3,0.0030137296093777142,0.4939023477475051,5.0,0.3509692021980518,140.0,22.0,40.0,4.0,0.19089200325500938,0.0636981365330323,0.07909954052940017,0.0,False,0.1603331853567506,0.045420990162042485,0.5222536527998961,0.30605609130932265,0.44414106338064546,1.3982674339078345,0.0539540815800977,1.567851472112423,-0.13047445966103724,368.3333333333333,0.08461126936765102,0.054901814096276286,0.2196116458144101,0.502328350815018,-0.8848857086829444,1.1044973544973544,0.8848857086829444
4,0.003435187473569203,0.43282653009939676,10.0,0.31560583851202306,155.0,42.0,40.0,8.0,0.11763311629907447,0.053844743905380084,0.08586206878679103,0.04386578582708037,True,0.06336546467745892,0.01879220006011617,0.4168187272885961,0.19518413728077044,0.5674757542320041,1.7079933390756505,0.01096822733818647,1.918793282516199,-0.0510535362812351,458.0,0.04912312109692751,0.02185028975313903,0.05907619002840754,0.47284878863826235,-1.4012412702890527,1.4603174603174602,1.4012412702890527
5,0.01021007218220406,0.39169404391014995,10.0,0.27897399443435034,180.0,44.0,38.0,10.0,0.23130815860318016,0.06892591697776915,0.0997749058517208,0.04644096434469937,False,0.030048982139656306,0.008383919711475452,0.21375577581417296,0.19711472024976198,0.7829083497554145,1.8676931174053193,0.01260224357074285,2.6947781642857795,-0.05496260796702327,685.0,0.041968470353705774,0.025935547186578655,0.06572737092211897,0.45678524374176543,-2.295383740188992,2.361111111111111,2.295383740188992
6,0.0046625984160013284,0.39393025002173543,4.0,0.49760902452732775,120.0,20.0,26.0,14.0,0.1512421627471651,0.07477423665141224,0.06735722477569402,0.07987948839600423,False,0.13027386271938135,0.03696324952773026,0.3568172997219807,0.2850462392033338,0.22287087530485863,1.2048547235674036,0.06617103957327614,0.7864689996231639,-0.16218633546644354,732.6666666666666,0.0986353913067952,0.08558287285766238,0.214197791218547,0.48797493356316884,-2.336066759046003,2.5502645502645502,2.336066759046003
7,0.0020676717524921334,0.18355055167993511,12.0,0.6151326091585947,105.0,40.0,50.0,5.0,0.11739594784902166,0.06992143091841603,0.13470806691352322,0.0,True,0.002918138268391046,0.0007528168623749387,0.10210660245188578,0.012676458336688248,0.24537906163372933,1.5759348685967367,0.006480582496257833,0.8266810646200998,-0.0350499277424536,213.33333333333334,0.022702549840166068,0.012971486580138763,0.024105416110910948,0.47741147741147744,-0.46531257330707854,0.4894179894179895,0.46531257330707854
8,0.010197782369639183,0.3501065399847659,4.0,0.5544736354256549,115.0,44.0,34.0,7.0,0.24868120513504627,0.06293843877669861,0.06486700869997655,0.0708552327038335,True,0.08710559295142555,0.016547528957875406,0.20025018825901367,0.1750754542165424,0.41242840391879687,1.1550038326369203,0.07668225487888504,1.6392363479271657,-0.17836497349691224,579.3333333333334,0.10469047369933197,0.10291230842910197,0.21702249012737937,0.4752962833340195,-1.7247764516715625,1.9417989417989419,1.7247764516715625
9,0.002347316928193213,0.38788381582441767,10.0,0.45177961203084704,70.0,24.0,48.0,11.0,0.1908268113812261,0.05739991814603225,0.10325014518401171,0.0,False,0.003779358630821794,0.0011302078412991727,-0.0024271270273243314,-0.002545262970693471,0.0038564868384175707,1.0518422193715666,0.007709083724759061,0.014252571431566838,-0.060407544195717665,599.6666666666666,0.03756407800420903,0.03021714262545641,0.008693120701683215,0.4966329966329966,-2.013793651785089,2.0224867724867726,2.013793651785089
10,0.007779123629427307,0.28567318520361445,10.0,0.45356518582787536,110.0,46.0,42.0,14.0,0.24095608933781815,0.0507329901484215,0.06371343216338214,0.0,True,-0.07397971325209796,-0.023832403446246597,-0.4601417471080726,-0.09128743776433025,-0.15302457871377795,0.6429156994029726,0.01421694841760332,-0.47618234354460937,-0.12276626250503453,743.0,0.05103293568903011,0.08407758457656372,0.027818734514542334,0.4197520404416957,-2.563451106755299,2.5912698412698414,2.563451106755299
11,0.0038482901301114154,0.1539202367067273,6.0,0.43833184120004653,90.0,48.0,45.0,15.0,0.10114480766540651,0.05231218395595755,0.06943475553418217,0.06432609539640238,False,-0.036536438800843674,-0.011832581697391023,-0.20332050777147595,0.016085848115247364,0.12502054236129304,0.9773952527498317,0.010542785306905026,0.44743818135493285,-0.07305539057284645,580.0,0.037536594630097314,0.05415627171335375,0.029713302475035914,0.5087719298245613,-1.9147311419694084,1.9444444444444444,1.9147311419694084
12,0.0054650854992313,0.3181133973621305,10.0,0.49492205866844363,90.0,34.0,44.0,13.0,0.09337393517141486,0.06436416596353278,0.12570356403258487,0.0,True,-0.04101662246869361,-0.013083613567834976,-0.25671359657851034,-0.04508649558199148,-0.050489439669164284,0.7944631584544259,0.006898971757443588,-0.1523280303721851,-0.06712488188034453,528.0,0.03468514286088749,0.046697519353021334,0.013679156241279874,0.4323308270676692,-1.7244160818539582,1.7380952380952381,1.7244160818539582
13,0.006143066184999328,0.17471545615611853,10.0,0.3720676455815689,155.0,36.0,27.0,12.0,0.2264199621396225,0.043554073922633496,0.10204337092518656,0.0,False,-0.005002456332568979,-0.0018424855987729434,0.14665525547582905,-0.0275079158176616,-0.10829970530571877,3.742886604408937,0.00607598553299751,-0.34634656243701256,-0.03706520465080868,407.3333333333333,0.024955281439788302,0.018148489310241354,0.01747556804214731,0.5777777777777778,-1.2417836912171119,1.259259259259259,1.2417836912171119
14,0.002064533610146803,0.2807781601084763,13.0,0.42703181230471443,120.0,36.0,30.0,4.0,0.24478958932929046,0.04068386759790978,0.14151584720707733,0.0,False,-0.05759423754588914,-0.018203951695310455,-0.5280339608182341,-0.09973289043507853,-0.19431618536468762,0.5504661003219646,0.00769467578530324,-0.6161306038522558,-0.0845849197048049,687.6666666666666,0.034260422914809484,0.05031289543021459,0.015177197517597376,0.4087719298245614,-2.356515924175524,2.3716931216931214,2.356515924175524
15,0.0020030107994276464,0.1706247266963103,14.0,0.510180788621784,80.0,48.0,45.0,4.0,0.2214511911434628,0.053394403775523236,0.0783855826809146,0.07950948847840142,True,0.01958074601328493,0.005936629871461781,0.4467564594972761,-0.008001496914190671,0.6182841584084922,6.035980838020283,0.002836768946796396,2.055842966474893,-0.007243860687083936,125.66666666666667,0.011617305686333452,0.0036812615557143165,0.014004756619637765,0.7111111111111111,-0.12752963491475378,0.14153439153439154,0.12752963491475378
16,0.018167791545367996,0.4338843395778661,13.0,0.3068509803516192,90.0,26.0,20.0,7.0,0.11208761725872758,0.0580650278338838,0.13352952877920285,0.07256333869789444,False,0.0005808855753105154,0.00017797421693684554,0.09803129638760516,0.0,0.1389873829570513,1.4546464404227812,0.00040551500405515005,0.4536374273727463,-0.00042683542719327655,106.33333333333333,0.0006068735800515341,0.00026590095142987283,0.002011030439541349,0.16666666666666666,-0.06280378437527345,0.0648148148148148,0.06280378437527345
17,0.016188006738362046,0.4148346084252995,14.0,0.3697840270784446,70.0,24.0,26.0,5.0,0.24530506083243703,0.05402733173093332,0.06927738595229053,0.0,False,0.019690776368036955,0.005992165627923225,0.440521187499938,0.0,0.0,7.0,0.0012245158230559689,0.0,0.0,0.0,0.008176563957240137,0.0,0.003662725475214823,0.6666666666666666,0.003662725475214823,0.0,-0.003662725475214823
18,0.01584272578483958,0.3105747488972063,10.0,0.6439908836412562,190.0,38.0,46.0,7.0,0.13343253763707474,0.045123075837054875,0.1364869433750883,0.0,False,-0.03247434838284635,-0.010173131990474427,-0.15865294329281246,-0.051728177418301956,-0.07719340115508733,0.8895171146276094,0.02233583495112723,-0.2464187458405911,-0.13772655087937866,751.0,0.057172915881512826,0.07860886610071928,0.04357743749735962,0.4606775386202746,-2.5794384355185134,2.623015873015873,2.5794384355185134
19,0.014208078145203017,0.1862106771567499,9.0,0.3288355392310066,95.0,42.0,42.0,6.0,0.09596715920180068,0.07903999590955668,0.12417400693629849,0.0,True,0.004875715601955803,0.001438804470278332,0.08612421945919435,0.02532777329103342,0.07940039810584727,1.2937185688902593,0.0032422839508515467,0.267648533362764,-0.019502686963582778,488.0,0.01418495755648493,0.009730120279820976,0.015931107556054057,0.5,-1.5634339718090253,1.5793650793650793,1.5634339718090253
20,0.02245009433787281,0.49173550899135554,15.0,0.2526248303036146,65.0,16.0,22.0,6.0,0.15462050307008274,0.048025470486709396,0.1488860638327401,0.05285321228068313,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0
21,0.022707454699668218,0.492927130748263,15.0,0.2616399224205231,60.0,16.0,59.0,6.0,0.16362379887573386,0.04760784182427668,0.14895969986393584,0.05226928343508017,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0
22,0.02446248599725669,0.49234716042111676,15.0,0.27148765593916,60.0,16.0,60.0,8.0,0.16203792987123364,0.047546851819882115,0.1497899296734924,0.05271801710172737,False,,,,,,,,,,,,,,,,,100.0
23,0.02460925124634883,0.46267525142543076,15.0,0.2559897574540463,75.0,16.0,60.0,6.0,0.17093343579871842,0.04103522061357408,0.14906222773226244,0.05399419052490134,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0
24,0.02189934353538367,0.4598090116147832,12.0,0.2605706539069677,75.0,18.0,56.0,8.0,0.177940902085638,0.04029176411464042,0.14976215924932673,0.05489063387226461,False,0.0010090130500525578,0.0003090083706182393,0.18456234811204755,0.0,0.0,4.0,0.00040551500405515005,0.0,0.0,0.0,0.0005586774533801967,0.0,0.0012137551358297695,0.3333333333333333,0.0012137551358297695,0.0,-0.0012137551358297695
25,0.012736768407845362,0.46553292669825497,12.0,0.2977056479697205,100.0,30.0,34.0,3.0,0.14096542990114763,0.04372916435696311,0.11560747566869631,0.05851519578068046,False,-0.014150201507337775,-0.004497746572105406,-0.2765206413089759,-0.1372947860045139,-0.18743643981636163,3.4253430721253775,0.0016235936985458165,-0.6010017793905363,-0.02415535230348609,426.0,0.014138505452026317,0.015125749058785503,0.0032456489774015636,0.5555555555555555,-1.3300876843559317,1.3333333333333333,1.3300876843559317
26,0.020389026088250446,0.3571877856726664,14.0,0.4020995790383868,80.0,30.0,36.0,6.0,0.20871928517678132,0.04023324539008377,0.14463947340771577,0.04754495190896534,False,0.02751055893989977,0.008355546116646536,0.6190390584951115,0.012599932811244241,0.10024726365839531,7.266960076815063,0.003247187397091633,0.3263042331143168,-0.007620781296454937,69.66666666666667,0.01615968644833701,0.0038995032662453946,0.01492101938105253,0.8333333333333334,0.01492101938105253,0.0,-0.01492101938105253
27,0.024880114051929084,0.4602002905037018,15.0,0.25367010043708316,65.0,18.0,20.0,9.0,0.16399258589943488,0.04882646311032534,0.0945865984375533,0.056956194806538386,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0
28,0.008325812012822995,0.499708503774246,13.0,0.3370911198650649,150.0,20.0,21.0,9.0,0.13413345781138017,0.04861855233223161,0.09296739275300983,0.040414024338344096,False,0.0009443541534503256,0.0001753002333080289,0.07487144773275911,0.017192739425792556,0.9131625488538666,3.4761505643797754,0.0024450462406666786,3.008549776349018,-0.02362916400029913,407.3333333333333,0.017939464846984648,0.01271659160281706,0.012442306845032185,0.39285714285714285,-1.246816952414227,1.259259259259259,1.246816952414227
29,0.012190503065617876,0.4405057408187877,8.0,0.5781750291309127,165.0,30.0,30.0,11.0,0.1872589207247232,0.056821147327489975,0.11328347070485738,0.06143746006219972,False,-0.0389205774706853,-0.012545887850917222,-0.12331463775035627,-0.031728285145738395,-0.05506016654588544,0.9274028192039362,0.03248506147031288,-0.17009507068533822,-0.17112593633239603,735.6666666666666,0.0846224474782483,0.10756670096972258,0.0627713677735353,0.43206047683659626,-2.499397944395777,2.562169312169312,2.499397944395777
30,0.019065321427223288,0.22883995551535324,11.0,0.2906096911104672,65.0,20.0,24.0,9.0,0.05774274040227269,0.06045511703603363,0.09228929169648918,0.057833406315703786,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0
