trial,ci_period,long_only,macd_fast,macd_slow,macd_smooth,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,24.0,False,9.0,32.0,10.0,0.07535706501890463,0.11581070979089769,0.0,0.1986939033632101,0.09589503343114691,0.9733837884215462,1.3013852189686803,1.3802231759261665,1.3168623336672265,0.5791561888261698,2.843394158133753,-0.0786348463157543,214.8,0.0696688674166026,0.03852379115820236,1.1198209072666394,0.49244002016123983,0.6245828120285442,0.4952380952380953,-0.6245828120285442
1,10.0,True,15.0,21.0,10.0,0.04239744756325602,0.13748374337220912,0.06432996648684547,0.8412441729624953,0.35763424006420885,1.7586526011262393,1.9502221857658733,2.2432296822377573,1.379464984253586,0.6070736742914239,5.285994566261213,-0.2004807000394539,173.0,0.17379203356184766,0.06534888203229425,1.467527484694335,0.4892083080349733,1.1381624053292556,0.32936507936507936,-1.1381624053292556
2,28.0,True,15.0,29.0,8.0,0.06470643405092012,0.06662949229054717,0.0,0.9530100089657537,0.41557110680877507,1.9013570137188167,2.153580303897911,2.630485863165255,1.4187091708462287,0.6124771281147632,6.017542953653269,-0.2010157781891882,160.4,0.18132760228105715,0.06584656787810568,1.5487060296770165,0.4898944761329228,1.2693409503119373,0.27936507936507937,-1.2693409503119373
3,22.0,True,10.0,28.0,7.0,0.06817840065100186,0.11332080719932267,0.04848868467973341,0.9073160216416991,0.3921674273787701,1.8237449188655759,2.0578515096943626,2.5009118358115514,1.3983467904046454,0.6081024036988503,5.793581802952881,-0.19717400919973685,167.6,0.17848762597669782,0.06284097263731223,1.5127391479543861,0.4900025250369847,1.2048026400178782,0.3079365079365079,-1.2048026400178782
4,20.0,False,11.0,25.0,9.0,0.05149425279412936,0.06869801811093082,0.0,0.25731021563072626,0.12333784245777005,1.314100511995915,1.8421539346551126,2.203936026661789,1.3848016170026962,0.5802332466825946,4.564455410241888,-0.06270754236864998,197.6,0.07001734659963056,0.029524170334956367,1.3567884650793618,0.49290925823073595,0.9298043380952348,0.42698412698412697,-0.9298043380952348
5,27.0,False,12.0,28.0,12.0,0.06892591697776915,0.0997749058517208,0.04644096434469937,0.25168460094753875,0.12176423146372437,1.1932349080263258,1.5006445133949415,1.6117857205604398,1.3705108212000507,0.590576959193124,3.32456976481312,-0.08977141504728108,242.6,0.07415135559276143,0.04402532444263344,1.2374774186151218,0.49265098871033464,0.6319218630595663,0.6055555555555555,-0.6319218630595663
6,13.0,False,9.0,34.0,10.0,0.07477423665141224,0.06735722477569402,0.07987948839600423,0.2755999818415369,0.1265634561856212,0.9751351917135302,1.1894239029997098,1.1156790120472704,1.2805641353686763,0.5771906393759576,2.3798101194762684,-0.11821497976247394,240.2,0.08932727624952978,0.05784410475057601,1.05333484003631,0.4918744859189944,0.45730309400456404,0.596031746031746,-0.45730309400456404
7,25.0,True,14.0,22.0,9.0,0.06992143091841603,0.13470806691352322,0.0,0.9311643600905926,0.40286819857973216,1.8297707128191667,2.046622994880057,2.5244819498182265,1.4031092409097752,0.6042835035944419,5.8193278318627595,-0.20178924653154323,165.8,0.18084351983783414,0.06684373342024205,1.511090027018006,0.48997713257286896,1.2102963762243553,0.30079365079365084,-1.2102963762243553
8,17.0,False,11.0,35.0,10.0,0.04216311497776736,0.12942427358362535,0.0,0.34786423938578115,0.16145766939549383,1.407696581346223,1.7764776748343991,2.0278464451468556,1.3858888682708528,0.5929085435764619,4.315249335409857,-0.08821860928612897,206.4,0.08380291614025451,0.040034072068201663,1.361679981932537,0.49386030642268264,0.899775220027775,0.46190476190476193,-0.899775220027775
9,12.0,True,10.0,30.0,10.0,0.06816536227624523,0.09914981582857256,0.05922228674844965,0.8513297614033348,0.3633171788926558,1.7777722900338513,1.9871124193193102,2.2610865377843874,1.3836172271147307,0.6100303011255507,5.319589309552476,-0.20039185160505807,139.2,0.174716710426144,0.0637279726964467,1.478560762437022,0.4894483207600476,1.2833226671989268,0.19523809523809518,-1.2833226671989268
10,27.0,True,12.0,34.0,12.0,0.0507329901484215,0.06371343216338214,0.0,0.9185469901174466,0.4015615030806379,1.8262242645183704,2.0339974025328056,2.5337314772408996,1.4017515859926748,0.6133216320487844,5.776403521456517,-0.20212869197134298,164.2,0.18213926822552345,0.06736613436003117,1.518651872093685,0.49025383894882524,1.2242074276492407,0.2944444444444444,-1.2242074276492407
11,28.0,False,13.0,35.0,8.0,0.05231218395595755,0.06943475553418217,0.06432609539640238,0.24905166796120576,0.12003688055399,1.1194976039171192,1.4734212150301509,1.7147621110963835,1.3965301356968562,0.5734066336926882,3.5432337257203743,-0.08611502939899944,238.2,0.07353686787586836,0.04312479096944875,1.225146562288452,0.49210232985082303,0.6370513241932141,0.588095238095238,-0.6370513241932141
12,20.0,True,13.0,32.0,8.0,0.06436416596353278,0.12570356403258487,0.0,0.9249989804470304,0.39767413327537604,1.8541177055514662,2.0971462199116053,2.473292296253014,1.406130736832684,0.6110056844473536,5.767914392602318,-0.19837524597686182,138.8,0.17821282449214101,0.06055624928322171,1.5221904020044272,0.49017957905717796,1.3285396083536336,0.19365079365079368,-1.3285396083536336
13,24.0,True,13.0,23.0,11.0,0.0752839924279245,0.06799666632592537,0.05868594263341625,0.9394045473338328,0.40692086542872463,1.8740733081555945,2.1258915790541337,2.5770915771621388,1.412074028184635,0.6059892501430804,5.9484787435815445,-0.1965705552410272,167.0,0.1797098599951318,0.06120759372642145,1.5311962375314638,0.4900358377709984,1.2256406819759083,0.3055555555555556,-1.2256406819759083
14,18.0,True,13.0,24.0,8.0,0.0789579178658581,0.061538702095297,0.0762292654253677,0.9227781911683625,0.3956009368715964,1.8687503534537284,2.1028455252288345,2.534999423102337,1.4078752613672674,0.6122215219763797,5.923489899189836,-0.19658440007321082,138.8,0.17687626754479374,0.06084437722697298,1.531532037866231,0.4900439655720832,1.3378812442154373,0.19365079365079368,-1.3378812442154373
15,22.0,False,9.0,33.0,9.0,0.04817137008040649,0.14889634907640317,0.0,0.22144505650314672,0.10730217588418703,1.1822956131665232,1.636956518031348,1.8090744952354583,1.3570958521812497,0.5721073126634102,3.70108201704767,-0.062391434266359756,165.8,0.06841535113203157,0.028301863385389786,1.2593259728987423,0.49243330517051487,0.9585323221050914,0.30079365079365084,-0.9585323221050914
16,17.0,False,8.0,25.0,9.0,0.0580650278338838,0.13352952877920285,0.07256333869789444,0.24408897214567404,0.11556858470608147,1.2378774566940696,1.7887845499150885,1.7551047816297285,1.3770505258112344,0.5794398292531986,3.6985089220733856,-0.0714624802365682,242.8,0.06850243262175981,0.03298490781883515,1.2878262727755616,0.4933469200444658,0.6814770664263552,0.6063492063492064,-0.6814770664263552
17,12.0,True,10.0,22.0,8.0,0.0790610121664874,0.09156149639459996,0.04412328264546246,0.8640042235677354,0.36798993662776586,1.7910746586895392,1.9958956761767237,2.3706256363169143,1.387946205647324,0.6112717133688215,5.583841625425217,-0.19698698412011864,141.2,0.17521805477701355,0.062222922631436715,1.4937662588047247,0.48938684990786446,1.2905916556301216,0.20317460317460312,-1.2905916556301216
18,28.0,True,13.0,30.0,9.0,0.05668650752741494,0.07152692063337346,0.0739941970555948,0.9539281424156147,0.4160305418053868,1.9036506121352357,2.1570413607676158,2.630336366766232,1.4191814013312434,0.6120497776874128,6.016970990049706,-0.20040215867147498,160.4,0.18134950651338239,0.06521212759761855,1.5488802852602965,0.48987627312617565,1.269515205895217,0.27936507936507937,-1.269515205895217
19,26.0,True,12.0,24.0,8.0,0.07903999590955668,0.12417400693629849,0.0,0.9189369834991478,0.40014487806560445,1.8255400642993074,2.047449295935447,2.5212785923774566,1.401439972690635,0.6077474705744754,5.7722603987225565,-0.1989819808277768,161.2,0.1813283680738003,0.06576102028583232,1.513227786359091,0.48994181855563745,1.2306881038194086,0.2825396825396825,-1.2306881038194086
20,17.0,True,15.0,27.0,7.0,0.0615632823469405,0.07983264977422992,0.0,0.8964027656975073,0.3847043646010952,1.8303136344727715,2.0463718714993595,2.4164480971528377,1.3978630980670563,0.6117704202369566,5.636689705390522,-0.19784358202906502,139.6,0.1760425429179663,0.06129658871804082,1.5089626490584551,0.4902170711079501,1.3121372522330583,0.1968253968253968,-1.3121372522330583
21,15.0,True,14.0,26.0,7.0,0.06285875713001793,0.1491091947088021,0.0,0.9019849506822633,0.3858987049552578,1.8648737281742378,2.1021034544656163,2.4861771015510277,1.403632057540583,0.6121648898846936,5.826218952042977,-0.19507482417863095,139.6,0.17452541472133404,0.06107406345430033,1.5260227308613676,0.48976349106309575,1.3291973340359708,0.1968253968253968,-1.3291973340359708
22,15.0,True,16.0,26.0,7.0,0.04668000768816495,0.14919454242649144,0.07921905374104694,0.903530707595683,0.38665886670737576,1.8680654618264882,2.1157361219569792,2.4723869040916635,1.4036598068957922,0.6125850983112311,5.793892926246291,-0.19555379145588497,139.6,0.17448762373165044,0.061043737326855516,1.5267663363929007,0.48975888766048403,1.329940939567504,0.1968253968253968,-1.329940939567504
23,15.0,True,16.0,20.0,7.0,0.0457677496803279,0.08399802159461572,0.07939620454619502,0.8892338582587881,0.38086587026152935,1.8379795505946137,2.066691919708654,2.416702848432353,1.397347962950456,0.613014857244181,5.655039101560311,-0.19592235129538874,139.6,0.17489028231451312,0.06141460805437073,1.5130560508886828,0.4896537660712125,1.316230654063286,0.1968253968253968,-1.316230654063286
24,15.0,True,16.0,26.0,7.0,0.05500044643366572,0.11121774581859795,0.07245625962626019,0.903530707595683,0.38665886670737576,1.8680654618264882,2.1157361219569792,2.4723869040916635,1.4036598068957922,0.6125850983112311,5.793892926246291,-0.19555379145588497,139.6,0.17448762373165044,0.061043737326855516,1.5267663363929007,0.48975888766048403,1.329940939567504,0.1968253968253968,-1.329940939567504
25,19.0,True,14.0,23.0,8.0,0.04071050660233644,0.1414694829740236,0.07980537575882354,0.9194551333758392,0.39475733517840983,1.856271337172931,2.094626863550699,2.498319466273578,1.405994728159785,0.6097351675358904,5.82906877614427,-0.1967787534836533,138.8,0.1770907877521606,0.060493525576354304,1.523134154764967,0.49005064767242973,1.3294833611141734,0.19365079365079368,-1.3294833611141734
26,10.0,True,16.0,24.0,7.0,0.04561177730704764,0.0806807350126113,0.06703811493023769,0.8375977986993005,0.356374270745932,1.7557248817721507,1.94784776961991,2.2341741110721953,1.3784382544093239,0.6066621516576791,5.258948955500373,-0.20044159905908568,173.0,0.17372657719536214,0.06547335305010152,1.4653732976183014,0.48919897122387435,1.136008218253222,0.32936507936507936,-1.136008218253222
27,18.0,True,15.0,27.0,8.0,0.05865453385403217,0.09034387386266762,0.052244368089227784,0.9261556768842306,0.39737416822252836,1.8797146727262515,2.1240983940032114,2.550075001523636,1.4094263217797178,0.6130743987388574,5.955369117361954,-0.19647024556936823,139.0,0.17681373965604133,0.06045469295146966,1.5370913253302572,0.4901497942710469,1.3426468808858127,0.19444444444444445,-1.3426468808858127
28,22.0,True,14.0,31.0,8.0,0.07230261431157303,0.09067522686791807,0.05426918649276666,0.9319888922997753,0.4028071660884881,1.8667685341518307,2.117458623459414,2.572890683906177,1.4090228323901264,0.6089481271607758,5.963105746490709,-0.19416967640087984,138.6,0.17863558368713375,0.059708443384527375,1.5320963669006715,0.4902220580386034,1.3392392240435287,0.19285714285714284,-1.3392392240435287
29,22.0,True,15.0,30.0,9.0,0.0727466380485335,0.09022177746345092,0.05308147871328899,0.9350684255375784,0.40405440647181357,1.870607663454472,2.123287064022862,2.5929623603352496,1.4103639824151841,0.6102536591875447,6.0074326102279,-0.19367827545116284,138.6,0.17866126938416674,0.05963542457337019,1.5363449532704923,0.49035237054444386,1.3434878104133494,0.19285714285714284,-1.3434878104133494
30,30.0,True,15.0,29.0,11.0,0.058767327338361805,0.10307230857220137,0.040148533682119965,0.9705305905984096,0.4250915709797448,1.929263921122012,2.2122523854963108,2.6749749536658274,1.4273819773201513,0.611249084726598,6.1052078738286415,-0.19947503799475857,158.0,0.18278890930798056,0.06343398516001121,1.560643549351489,0.49000892940510504,1.2908022795102192,0.2698412698412698,-1.2908022795102192
31,23.0,True,15.0,31.0,9.0,0.06539896090856778,0.09155244479651982,0.0528891646948976,0.9416901910933365,0.4081362650297386,1.8965561491877452,2.1493814945081393,2.618724995803965,1.4167494566371495,0.6115277332904797,6.042725626857883,-0.19400131848397284,135.4,0.17890168136916784,0.059578170029597144,1.5460072466263042,0.49031510667194683,1.365848516467574,0.18015873015873018,-1.365848516467574
32,24.0,True,15.0,32.0,11.0,0.06533148302714432,0.10787315416522188,0.054209868495430386,0.9599902355656823,0.4145414937050139,1.8868200164967437,2.121478080950802,2.6151436971114523,1.4179216894290776,0.6098402505822413,6.050542224006705,-0.19582712367689653,134.4,0.18050887604367455,0.060100843470983586,1.5408100503800046,0.4902278297923431,1.3646195741895284,0.1761904761904762,-1.3646195741895284
33,24.0,True,14.0,32.0,11.0,0.06583001425180741,0.1168808915214062,0.05621243922062338,0.9523630284551654,0.41190560443922275,1.882392270406109,2.1264053300002517,2.6053847256417675,1.4156084894001495,0.6085717403235437,6.019790479695397,-0.1959861924354595,138.4,0.18017402733144133,0.06037083328000072,1.5380446927623088,0.49008909919346094,1.3459812006988168,0.19206349206349208,-1.3459812006988168
34,21.0,False,16.0,33.0,11.0,0.05416975518378013,0.10892530044851513,0.04959078293047781,0.38690060910380436,0.1826330884248742,1.6271615792328533,1.9978894075500389,2.2676978495880213,1.4253317968956691,0.5988250682741721,4.760071338142983,-0.0860634072493677,177.4,0.08838979960478935,0.03938456044881419,1.4500880210177354,0.4943532237748607,1.1032626241923384,0.34682539682539687,-1.1032626241923384
35,23.0,True,11.0,31.0,12.0,0.06118738615312998,0.11556642718068036,0.040727335745509574,0.9372112467791194,0.40662563711786337,1.8901724749452655,2.1443202654953577,2.605975546952769,1.415475242684121,0.6098273623004455,6.007172363986299,-0.1950800104635305,135.4,0.17898376664633697,0.05981220331044386,1.541668811524039,0.49020305539879805,1.3615100813653087,0.18015873015873018,-1.3615100813653087
