trial,dir_require_prior_trend,long_only,method,normalize_strength,roc1_months,roc2_months,stop_loss_pct,strength_window,sustain_days,take_profit_pct,trailing_stop_pct,trend_strength_threshold,wma_lookback,zc_require_prior_state,zc_sustain_days,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,True,True,zero_crossing,False,3.0,6.0,0.08810218870061892,315.0,4.0,0.07844906679590179,0.06607138386592255,0.49104543984933635,5.0,False,4.0,0.05848508203872742,0.056561506104361815,0.3351599747681663,0.3967223263872106,0.36191345754955584,1.1220819948071727,0.21832439123819708,0.37380250410689586,-0.2080079513389342,156.2,0.2094601626126697,0.09645373962120887,0.36553835395814577,0.4782256989669831,0.10283994125973311,0.26269841269841265,-0.10283994125973311
1,False,False,directional,True,4.0,2.0,0.07102471646068367,252.0,5.0,0.06974581995893663,0.0538453118361725,0.1359617134488403,4.0,True,3.0,-0.0031802194633847813,-0.0027388155644109125,-0.0025330211306529016,-0.07260065833520364,0.07918376654855008,1.0044397730219679,0.4904708762216333,0.1077946682491278,-0.10251983575015125,201.8,0.07524660478636229,0.05433727811784317,0.16038373599987488,0.4909105623144024,-0.2832670576509188,0.4436507936507937,0.2832670576509188
2,False,False,zero_crossing,False,4.0,4.0,0.09308320963989855,504.0,4.0,0.19318202975197152,0.0,0.19430782033713828,3.0,True,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
3,True,True,directional,False,3.0,2.0,0.10002379229362057,315.0,4.0,0.0684791363313798,0.0,0.522676009765028,3.0,True,3.0,0.30765106602943704,0.19157047175619937,0.8872666488549947,1.306752262132874,1.2271720213617852,1.1906629432632712,0.46964853802767526,1.976629105185701,-0.22562476451850494,207.2,0.20868205840757376,0.11199374465073124,0.9705241401398649,0.49022663754688056,0.5054447750604998,0.46507936507936504,-0.5054447750604998
4,False,False,directional,True,3.0,4.0,0.12138876923961588,378.0,3.0,0.13454139537384308,0.0,0.3076711585807012,2.0,False,4.0,-0.009360625875634288,-0.009584228658752813,-0.13869580495316902,-0.13438541102243082,0.2509417277273217,0.9901868031651395,0.48432012500532196,0.41019888019952067,-0.13756919259341682,246.0,0.07885685597918597,0.08118375783819895,0.4211638518883263,0.48980507192980827,-0.1978837671592928,0.6190476190476191,0.1978837671592928
5,False,True,directional,False,2.0,5.0,0.13200477271800953,378.0,4.0,0.27663519825397515,0.0,0.5338887546665372,3.0,True,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
6,True,True,directional,False,2.0,4.0,0.0817908961644448,315.0,2.0,0.28692693466325647,0.050372648824149525,0.6216135497711835,1.0,True,4.0,0.6649544525256728,0.3664955025850478,1.217181814555973,1.7475406197125491,1.7832453859871666,1.31846985618715,0.49658705760110466,3.2200308088762535,-0.2482868174251077,161.4,0.2289543939537566,0.1061071555268612,1.1911061012410529,0.489437522069491,0.9077727679077194,0.2833333333333334,-0.9077727679077194
7,False,False,zero_crossing,False,3.0,5.0,0.1395397827475784,315.0,4.0,0.2343954371686554,0.02838860954865496,0.30218784354706496,4.0,False,2.0,0.04642329736690154,0.03332738099966577,0.17197538140556018,0.3143875348896727,0.563241967100488,1.0392404349904185,0.3949816471563034,0.703544311642572,-0.2765812722336537,175.0,0.26398217830569626,0.1532191711580513,0.3824972239615084,0.49567659469733105,0.0451956366599211,0.3373015873015873,-0.0451956366599211
8,False,False,directional,True,3.0,5.0,0.07551448816344108,441.0,3.0,0.13731423670881787,0.07960436154051388,0.44407658165047914,1.0,True,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
9,True,True,directional,True,6.0,4.0,0.04044405000489586,315.0,4.0,0.2131924450910635,0.0,0.5224804341436783,3.0,True,3.0,0.5697209847102055,0.44071726001860867,1.6741650370162222,2.6313849270537997,4.034251899441576,1.37840466163737,0.4846990982244792,5.255313510939628,-0.13209196464035716,101.8,0.21760589478284356,0.04781392157490775,1.4271735571307003,0.48755450499101755,1.3803481603053034,0.04682539682539681,-1.3803481603053034
10,False,True,zero_crossing,False,6.0,4.0,0.0715329839982696,441.0,4.0,0.28778871794287875,0.0,0.6728682680134545,2.0,False,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
11,True,True,zero_crossing,True,3.0,3.0,0.05437629541072434,504.0,4.0,0.2969782943526117,0.03534344229962195,0.28468275933936327,1.0,True,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
12,True,False,zero_crossing,True,5.0,4.0,0.10347661760053307,315.0,4.0,0.20265615987382157,0.06852700790131448,0.23012180551424458,3.0,True,3.0,0.23396531751310362,0.17275200910872118,0.8158090273653077,1.1481514079806474,1.3013133892943807,1.1891848713390718,0.42552980649144534,1.7777428726704076,-0.21878411356482755,132.8,0.24525223277541408,0.09590485175848078,0.9065318010656284,0.500473507666858,0.7366905312243585,0.16984126984126988,-0.7366905312243585
