trial,consecutive_period,di_lookback,long_only,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,6.0,22.0,False,0.07535706501890463,0.11581070979089769,0.0,0.34881118660754434,0.17259336685424015,0.9768908646886005,1.4449851534347735,1.0360867783810928,1.206373800375463,0.509724410676576,2.09619295146816,-0.18379201021772068,198.8,0.18549869272914554,0.06716907677527371,1.00862292239206,0.48985978725852586,0.5768768906460282,0.43174603174603177,-0.5768768906460282
1,2.0,20.0,True,0.04239744756325602,0.13748374337220912,0.06432996648684547,1.5544111374835263,0.5600166644627022,1.4950933293116295,2.3836089862639183,3.1635182120075873,1.4489545666955395,0.5655151280120421,8.692765301502336,-0.24596295436117038,142.8,0.26074400206374687,0.09593250530411376,1.508303030962247,0.4920547146975248,1.2987792214384375,0.20952380952380956,-1.2987792214384375
2,5.0,11.0,True,0.06470643405092012,0.06662949229054717,0.0,0.8293137494335074,0.34111857052958555,1.0751042983740917,1.7802103824517275,1.4094478004930662,1.279316038749419,0.5178112019492381,3.448715129934616,-0.2587880745528074,151.8,0.28326732557870804,0.09048077491382579,1.1529131936697459,0.4898671311134173,0.9076750984316506,0.24523809523809528,-0.9076750984316506
3,5.0,10.0,True,0.06817840065100186,0.11332080719932267,0.04848868467973341,0.5722191570051661,0.2310882905942942,0.8476952868249109,1.0156881000166171,0.7947548116152179,1.2030420109806594,0.5337069234802955,1.9585208431433465,-0.32429115617497156,191.0,0.26484575536977795,0.12063980232688246,0.9038899565116072,0.4901339569545854,0.45451399336801324,0.44937596314359396,-0.45451399336801324
4,4.0,16.0,False,0.05149425279412936,0.06869801811093082,0.0,0.6099242867306524,0.27320820854274125,1.3125677852663045,2.2476931099025093,2.7370867604687037,1.340132383402993,0.5209282846889134,6.062137046899232,-0.11262085286676456,160.0,0.20657035490887748,0.0453889839934883,1.3627316132369314,0.4888982022857922,1.0849538354591535,0.2777777777777778,-1.0849538354591535
5,5.0,28.0,False,0.06892591697776915,0.0997749058517208,0.04644096434469937,0.5816403390588799,0.2741529337174363,1.3541161089721279,2.2259224207972084,1.9036962755673954,1.3037359358987097,0.5235413469033738,4.034357749436236,-0.14719380590314154,154.4,0.18177690610966662,0.05368800325803269,1.2936607323250138,0.4888005872900284,1.0381051767694582,0.2555555555555556,-1.0381051767694582
6,7.0,19.0,False,0.07477423665141224,0.06735722477569402,0.07987948839600423,0.3697316740607831,0.17902752996385626,1.0319120119216365,1.6206298487297217,1.5605933119499351,1.215276750662328,0.5158054273428048,3.2374778950783885,-0.12717597816823262,191.8,0.17455489735034574,0.05280402086142368,1.1326403702622592,0.48668903965119703,0.7286721162940051,0.40396825396825403,-0.7286721162940051
7,3.0,15.0,True,0.06992143091841603,0.13470806691352322,0.0,1.32540670467083,0.5042726622865822,1.4586807365017023,2.2114067581605292,2.2136224403304365,1.397703027153426,0.5538156246832958,5.759059658734128,-0.25478405972618356,201.6,0.2655905603530478,0.10022629810245705,1.4004771405609882,0.49345499533855597,0.9576199977038453,0.44285714285714284,-0.9576199977038453
8,7.0,21.0,False,0.04216311497776736,0.12942427358362535,0.0,0.27949456237429454,0.1367155127957582,0.869605190942566,1.485456661632882,1.0016718660987114,1.1739831680301616,0.5048508048572187,2.0501933296112376,-0.18379167496225512,211.6,0.17814250858404518,0.08113646715691145,0.9769099550502557,0.488237182412949,0.4943702725105732,0.4825396825396825,-0.4943702725105732
9,5.0,22.0,True,0.06816536227624523,0.09914981582857256,0.05922228674844965,0.9517711998042973,0.38872131699955736,1.1279275702048668,1.669560217427944,1.728819638183691,1.3174601602045015,0.5163333597051152,4.127535050237918,-0.29375118750823603,209.8,0.298339978028171,0.12188325870619972,1.1995163359474688,0.499897949624134,0.7241195105506433,0.47539682539682543,-0.7241195105506433
10,7.0,29.0,True,0.0507329901484215,0.06371343216338214,0.0,1.0940870751235372,0.44361727851049315,1.4320899640011562,1.9567038853910392,2.2083813798232264,1.35442800658737,0.49655158913885894,5.447059359715889,-0.261517172014552,153.8,0.25403646870579816,0.1004071249903831,1.3049271555620165,0.500688949881184,1.0517525523874134,0.2531746031746032,-1.0517525523874134
11,7.0,14.0,False,0.05231218395595755,0.06943475553418217,0.06432609539640238,0.25545205457216497,0.12200025474974394,0.769081069163083,1.2459273874162067,1.0213826993560253,1.1565960852376946,0.510438027654427,2.1434612548024896,-0.16709960830413892,246.6,0.1665450758828386,0.0670632363270961,0.9415935953829363,0.4854134279248119,0.32016502395436486,0.6214285714285714,-0.32016502395436486
12,6.0,13.0,True,0.06436416596353278,0.12570356403258487,0.0,0.9759086228451629,0.40797210991368277,1.5427105155750325,2.358677257952788,2.4516743956637232,1.349253363991296,0.5224945543673176,5.978924177102143,-0.23453040928915944,172.2,0.22766313939513516,0.08513204767787583,1.3945830953308027,0.4936049102273773,1.0683926191403266,0.32619047619047614,-1.0683926191403266
13,3.0,25.0,True,0.0752839924279245,0.06799666632592537,0.05868594263341625,0.9828455631066703,0.4003093599291413,1.1071191686713875,1.6477646546591704,1.7207123148500163,1.2995121605751996,0.5473041614537189,4.292974050241233,-0.26649297514920434,188.2,0.2908334955763285,0.11308906369330889,1.2192944932973706,0.49578970562507385,0.829611953614831,0.38968253968253963,-0.829611953614831
14,3.0,10.0,True,0.0789579178658581,0.061538702095297,0.0762292654253677,0.9722394897831776,0.37133253331338034,1.2219513419023524,1.4444057233057146,1.4546037894953137,1.3072012128253068,0.5551208157340544,3.75387450945012,-0.27929257107042427,193.2,0.22909035677758646,0.11290249416543781,1.1926162427254174,0.49030433680857105,0.783092433201608,0.40952380952380946,-0.783092433201608
15,6.0,15.0,False,0.04817137008040649,0.14889634907640317,0.0,0.4033968905786486,0.1894241663440069,1.095291756767762,1.668449457367887,1.6241421138638483,1.2355039509767078,0.519830921643747,3.4741413050491814,-0.13514462043215403,226.0,0.17128049183643443,0.0613214082347399,1.1652755021366998,0.4865372788952434,0.6255929624541602,0.5396825396825397,-0.6255929624541602
16,4.0,15.0,False,0.0580650278338838,0.13352952877920285,0.07256333869789444,0.6242148884673894,0.2782503274815346,1.3056585889326886,2.2718065609465494,2.5017953883631705,1.3481279834701785,0.5235580090817619,5.568746555583156,-0.11586693493726782,144.4,0.20707881717771012,0.044770222752160804,1.3522226040248921,0.488896238772643,1.1363495881518761,0.21587301587301588,-1.1363495881518761
17,3.0,11.0,True,0.0790610121664874,0.09156149639459996,0.04412328264546246,0.9681637799890221,0.38150912920470637,1.4024248745758698,2.0632076126622585,2.1037675176841115,1.3328184652992257,0.5425562844992733,5.386874016133932,-0.23962224389145392,177.4,0.22210509991510036,0.09655904771760121,1.3476715235505563,0.4894939080024672,1.0008461267251594,0.34682539682539687,-1.0008461267251594
