trial,long_only,long_window,short_window,stop_loss_pct,take_profit_pct,trailing_stop_pct,portfolio_cumulative_return,portfolio_annualized_return,portfolio_sharpe_ratio,portfolio_sortino_ratio,portfolio_calmar_ratio,portfolio_omega_ratio,portfolio_win_rate,portfolio_recovery_factor,portfolio_max_drawdown,portfolio_drawdown_duration,portfolio_annualized_volatility,portfolio_ulcer_index,portfolio_harmonic_mean,portfolio_signal_accuracy,objective_score,risk_penalty,loss
0,False,160.0,21.0,0.09303559752835694,0.11581070979089769,0.0,-0.0979353166066675,-0.06401806131920126,-0.19995845201247125,-0.21554681942383053,-0.06306041308556716,0.970693709714638,0.43951322643311697,-0.06357738599799112,-0.38239821575227123,289.0,0.2511628230488267,0.20335795279638638,0.6050639991892812,0.4878500235170173,-0.3494149719978009,0.9544789711870821,0.3494149719978009
1,True,45.0,19.0,0.043596171344884034,0.13748374337220912,0.06432996648684547,0.6819959362450622,0.30004710198785745,1.1475727807661815,1.7241220723328652,1.4042162855112823,1.2602655933839724,0.4687303755054281,3.210178923120492,-0.23067345223335484,148.6,0.25005862199270157,0.10104783914583752,1.1107067169414282,0.48386210019726994,0.8781670344017457,0.23253968253968252,-0.8781670344017457
2,True,125.0,9.0,0.07705965107638019,0.06662949229054717,0.0,0.4908844967937297,0.20388675017588564,0.7297657016667844,1.0805059175414562,0.7183769078883104,1.180657147905076,0.3797874313060452,1.6921552065899945,-0.2793323760129283,201.6,0.2599082194610057,0.12256577548508525,0.7733132420026497,0.47894522830370967,0.3304560991455069,0.44285714285714284,-0.3304560991455069
3,True,115.0,7.0,0.0822676009765028,0.11332080719932267,0.04848868467973341,0.6351105792888043,0.24795774530140333,0.7769730623871275,1.1797158784542046,1.0890505093038403,1.2036929427576928,0.41914396365616835,2.799746582609434,-0.27137399588359895,247.2,0.26757207366045466,0.13360437489042348,0.9054272705962837,0.4762510437271077,0.2816177467867599,0.6238095238095238,-0.2816177467867599
4,False,85.0,14.0,0.05724137919119403,0.06869801811093082,0.0,0.03396107903670884,0.0011972144472822467,0.019070744544961805,0.009917674833392408,0.14867447442093062,1.0192633662004729,0.48046471760385484,0.3830735952285137,-0.33343713312675466,289.4,0.2111951556736361,0.18154059472594763,0.0362175784262296,0.48822305306480995,-0.8219265290971209,0.8581441075233506,0.8219265290971209
5,False,125.0,28.0,0.08338887546665372,0.0997749058517208,0.04644096434469937,0.22537256252138035,0.0967293236423992,0.4186742173463457,0.6541768630536675,0.7666864262334647,1.0921033246766345,0.46023054647015227,1.7335079236552406,-0.26702970721049185,263.6,0.2609630208178807,0.15464146406410745,0.6751588099234653,0.4861545878007895,-0.013730078965423664,0.688888888888889,0.013730078965423664
6,False,190.0,18.0,0.09216135497711836,0.06735722477569402,0.07987948839600423,-0.01375871701762077,-0.01965120062021981,-0.07836604883569416,-0.07719244017753965,0.034946139139972784,1.0017284464087992,0.4353798090525185,0.12560392194277592,-0.3393123841469124,315.4,0.25276322736201,0.16820019060014307,0.1003207281238185,0.4810914415392148,-0.8727484846144506,0.9730692127382692,0.8727484846144506
7,True,55.0,13.0,0.08488214637762406,0.13470806691352322,0.0,0.9570949315690909,0.37397740717237393,1.1762025771227616,1.8560685144640368,1.6594277651027476,1.2961308838021555,0.45287506352203666,4.202589771630209,-0.25771692790520623,184.4,0.2616936692023587,0.10684016142075073,1.15181401743521,0.48724763332318943,0.7772108428320355,0.3746031746031746,-0.7772108428320355
8,False,200.0,19.0,0.04324467246665104,0.12942427358362535,0.0,0.05515847648053183,-0.04903850345455585,-0.4056208272101193,-0.3984906696941865,0.3076723784918707,0.9655422398782705,0.42238859400536305,1.1541255058032682,-0.44072968394345713,315.8,0.25269876863838303,0.24084719117908565,0.5319259954057769,0.48384369847158554,-0.6455651185128835,1.1774911139186603,0.6455651185128835
9,True,150.0,21.0,0.08224804341436784,0.09914981582857256,0.05922228674844965,0.4420884730804323,0.1808922834471788,0.6275471950760233,0.8635402563775239,1.0449178827229533,1.1827597143614106,0.333100262405861,2.479983035432422,-0.2969892347195276,242.4,0.24798574937861648,0.15310182447221687,0.7538303824127922,0.486808860134995,0.14906847765088738,0.6047619047619048,-0.14906847765088738
10,True,190.0,29.0,0.05609948522263225,0.06371343216338214,0.0,0.544023496457361,0.1997117239683122,0.6356656236097031,0.9082557921085271,1.517017220135956,1.2387697945835463,0.29378444172993373,3.8176645992197216,-0.27379105114979974,218.0,0.25324924689496253,0.15365442985976266,0.7685998469411067,0.4758779697136811,0.2606633390045988,0.5079365079365079,-0.2606633390045988
11,False,200.0,11.0,0.05846827593393633,0.06943475553418217,0.06432609539640238,0.19074396395176446,0.0871112775227965,0.4474438381291204,0.6966384570976201,0.392208160794873,1.094544024939204,0.457812209651595,0.8534746201378066,-0.2633073685523555,233.2,0.2618428309003611,0.11411714499264955,0.5719921828323948,0.48282771284036635,0.003738214578426602,0.5682539682539682,-0.003738214578426602
12,True,165.0,10.0,0.07654624894529916,0.12570356403258487,0.0,0.2851578976178614,0.131319674755206,0.5717310176653324,0.867963697275876,0.4943984850729367,1.1385131754505549,0.35953496270767016,1.078076991235502,-0.3006299250289204,174.6,0.28010954475183886,0.1368017451699351,0.6308390175290624,0.46868436455232654,0.29386488175693587,0.3369741357721265,-0.29386488175693587
13,True,60.0,24.0,0.09292598864188675,0.06799666632592537,0.05868594263341625,0.7629733333878178,0.30865256269483965,1.0466234786176847,1.4404552386920102,1.6053144953646044,1.2565908519983702,0.4325383218052824,3.9967360421829667,-0.24036764396877083,230.0,0.25604769924790294,0.11362499248791373,1.0656150078652176,0.48955818613812135,0.510059452309662,0.5555555555555556,-0.510059452309662
